LAT,LONG,NAME,COUNTRY_CODE,COUNTRY,DEM_STD,COLD,WARM,GDP,POPULATION,DEM_MEAN
42.50682273,-94.1802568,Ft. Dodge,USA,United States of America,49.82046957,-15.39599991,28.15999985,18560000,26879,361.1444095
38.06549176,-97.92349085,Hutchinson,USA,United States of America,96.51284007,-7.756000042,33.31599808,18560000,44477,474.0872474
39.11358052,-94.63014638,Kansas City,USA,United States of America,47.98097552,-8.260000229,31.48800087,18560000,501577,286.6087701
38.95975242,-95.25522994,Lawrence,USA,United States of America,56.80757719,-8.300000191,31.7159996,18560000,92726,315.1908084
37.97521303,-100.8640866,Garden City,USA,United States of America,170.7131251,-8.852000237,33.60799789,18560000,28564,895.4612528
39.19402753,-96.59243514,Manhattan,USA,United States of America,62.17949265,-9.296000481,32.10799789,18560000,56949,389.0828214
39.09111391,-94.41528121,Independence,USA,United States of America,43.63019272,-8.736000061,30.99600029,18560000,148102,278.7068231
40.70070559,-99.08114628,Kearney,USA,United States of America,122.1568396,-11.72000027,30.75600052,18560000,31553,658.9670508
40.92226829,-98.35798629,Grand Island,USA,United States of America,110.5498197,-11.87599945,30.39999962,18560000,45651,584.5037047
36.39554201,-97.8780931,Enid,USA,United States of America,104.8552031,-5.599999905,34.26800156,18560000,46138,405.5878278
34.1810777,-97.12940495,Ardmore,USA,United States of America,76.39509159,-1.664000034,34.47200012,18560000,24960,269.4379642
36.13535118,-97.06829757,Stillwater,USA,United States of America,78.82732982,-4.455999851,34.19599915,18560000,47667,320.4558057
30.27495953,-89.78109379,Slidell,USA,United States of America,39.96358001,5.592000008,33.81999969,18560000,84239,27.9311146
30.22638369,-93.21718897,Lake Charles,USA,United States of America,29.58953975,6.107999802,33.64799881,18560000,83821,21.12789543
29.98386619,-90.15277653,Metairie,USA,United States of America,34.41384162,6.875999928,33.7879982,18560000,394206,18.95284006
30.00358075,-91.81830794,New Iberia,USA,United States of America,22.27502825,5.763999939,33.89200211,18560000,37540,11.80638667
30.67418581,-96.36968388,Bryan,USA,United States of America,71.18574766,4.159999847,35.08399963,18560000,146692,114.213613
29.88307131,-97.94111251,San Marcos,USA,United States of America,169.6877184,3.875999928,35.29999924,18560000,70371,231.9189198
32.50053428,-94.74027429,Longview,USA,United States of America,33.92967477,1.731999993,34.25600052,18560000,75920,103.4767395
26.20303754,-98.22972538,McAllen,USA,United States of America,117.6763507,9.468000412,35.81200027,18560000,364004,89.12851381
26.19755983,-97.69019759,Harlingen,USA,United States of America,59.30065962,9.744000435,34.76800156,18560000,110339,42.20026528
29.6978113,-98.12632084,New Braunfels,USA,United States of America,175.747289,3.89199996,35.05599976,18560000,45840,237.9634392
32.35152529,-97.39248967,Cleburne,USA,United States of America,110.303436,0.748000026,35.7159996,18560000,35545,249.8409394
32.24318565,-101.4751862,Big Spring,USA,United States of America,147.3740257,-1.624000072,35.0719986,18560000,24122,791.4926127
29.41087791,-94.96276717,Texas City,USA,United States of America,30.28143953,8.156000137,33.00799942,18560000,69914,19.97420933
29.66086265,-95.14774296,Pasadena,USA,United States of America,35.65753359,7.187999725,33.56399918,18560000,628492,29.3639679
29.75584393,-94.96772811,Baytown,USA,United States of America,34.72289827,7.004000187,33.7159996,18560000,86034,28.8841095
32.68476076,-97.02023849,Arlington,USA,United States of America,87.14436494,1.192000031,35.60799789,18560000,724777,219.1534017
7.239983133,-70.73998214,Guasdualito,VEN,Venezuela,854.5883557,21.55599976,32.36000061,468600,30860,515.7536938
8.59997764,-70.25001205,Barinas,VEN,Venezuela,776.3447832,21.47200012,33.13599777,468600,284289,499.2093741
9.319959533,-70.6200153,Valera,VEN,Venezuela,768.7861009,19.65999985,30.19599915,468600,191167,534.2752461
10.42999514,-71.44999048,Cabimas,VEN,Venezuela,674.50346,22.11304474,32.34347916,468600,441094,372.2357837
10.18998395,-70.07999658,Carora,VEN,Venezuela,637.4085488,20.37999916,31.42000008,468600,149711,432.7576733
9.049976012,-69.75001673,Guanare,VEN,Venezuela,722.6904975,21.05200005,32.27999878,468600,151642,500.8723862
41.3555235,-72.10002832,New London,USA,United States of America,111.6311034,-7.16315794,27.06842041,18560000,96178,74.32467688
41.05334556,-73.53919112,Stamford,USA,United States of America,162.140859,-7.743999958,28.36400032,18560000,746920,120.462223
41.55000775,-73.05002202,Waterbury,USA,United States of America,176.4569292,-9.652000427,27.75200081,18560000,174236,153.9484093
41.6561253,-70.94469833,New Bedford,USA,United States of America,69.67249674,-7.184000015,26.99200058,18560000,136082,35.30644788
42.12002464,-72.57999903,Springfield,USA,United States of America,173.1035268,-10.47200012,28.27199936,18560000,421780,180.3194539
42.5224989,-70.88309175,Salem,USA,United States of America,113.0349388,-8.82631588,26.8578949,-9999,335509,79.73296596
